Question,Answer,Madde,Predicted_Madde,MRR
چه زمانی شرکت‌های با مسئولیت محدود و تضامنی به انحلال می‌رسند و چه فرآیندهایی باید دنبال شود؟,شرکت‌های با مسئولیت محدود و تضامنی می‌توانند در صورت تصمیم شرکاء یا وقوع شرایط خاص قانونی منحل شوند. فرآیندهای انحلال شامل تصفیه امور مالی و اعلام به ثبت شرکت‌ها است. (مواد 114 و 136),"[114, 136]","[96, 118, 135, 156, 172]",0.0
چه مسئولیت‌هایی بر عهده مدیران شرکت‌های با مسئولیت محدود در قبال اسناد مالی و اداره شرکت وجود دارد؟,مدیران شرکت‌های با مسئولیت محدود مسئول نمایندگی، اداره امور شرکت و رعایت دقیق قوانین و مقررات مالی شرکت هستند. این مسئولیت‌ها شامل نگهداری دقیق اسناد مالی و اجرای تصمیمات شرکاء می‌شود. (مواد 104 و 105),"[104, 105]","[145, 94, 53, 277, 167]",0.0
چگونه می‌توان از بطلان شرکت با مسئولیت محدود جلوگیری کرد و چه اقداماتی باید در صورت بطلان انجام شود؟,جلوگیری از بطلان شرکت با مسئولیت محدود شامل رعایت دقیق قوانین و مقررات مربوط به تشکیل و اداره شرکت است. در صورت بطلان، مسئولیت جبران خسارات بر عهده شرکاء و مدیرانی است که موجب بطلان شده‌اند. (مواد 100 و 101),"[100, 101]","[131, 138, 127, 124, 114]",0.0
تأثیر فوت یا محجوریت شریک بر روی ادامه فعالیت شرکت‌های تضامنی و با مسئولیت محدود چیست؟,فوت یا محجوریت یک شریک می‌تواند منجر به تجدید نظر در ادامه فعالیت شرکت شود. در شرکت‌های تضامنی، این موقعیت نیاز به رضایت سایر شرکاء و قائم مقام متوفی دارد. در شرکت‌های با مسئولیت محدود، این وضعیت تأثیر مستقیمی بر ساختار شرکت دارد. (مواد 139، 140),"[139, 140]","[161, 172, 164, 144, 149]",0.0
در چه شرایطی می‌توان اقدام به تغییر ساختار شرکت از تضامنی به با مسئولیت محدود یا بالعکس کرد؟,تغییر ساختار شرکت از تضامنی به با مسئولیت محدود یا بالعکس نیاز به تصویب تمام شرکاء و رعایت مقررات مربوط به هر نوع شرکت دارد. این فرآیند شامل انجام تغییرات در اسناد ثبتی و اساسنامه شرکت می‌شود. (مواد 135 و 136),"[135, 136]","[94, 145, 164, 149, 134]",0.0
چه روابطی بین مسئولیت‌های شرکاء در شرکت‌های تضامنی و با مسئولیت محدود وجود دارد و چگونه این مسئولیت‌ها در قبال طلبکاران تعریف می‌شوند؟,در شرکت‌های تضامنی، شرکاء به صورت تضامنی مسئول قروض شرکت هستند، در حالی که در شرکت‌های با مسئولیت محدود، شرکاء تنها تا میزان سرمایه خود مسئولیت دارند. این تفاوت‌ها تأثیر مستقیمی بر نحوه برخورد طلبکاران با شرکت و شرکاء در صورت بدهی دارد. (مواد 94، 116 و 124),"[94, 116, 124]","[144, 156, 94]",0.3333333333333333
چه تبعاتی برای شرکاء و مدیران در صورت تقسیم منافع نادرست یا ارائه اطلاعات مالی نادرست در شرکت‌های با مسئولیت محدود وجود دارد؟,تقسیم منافع نادرست یا ارائه اطلاعات مالی نادرست می‌تواند منجر به مسئولیت قانونی برای شرکاء و مدیران شود، از جمله مسئولیت مدنی و جزایی برای جبران خسارات وارده به شرکت یا طلبکاران. (مواد 100، 101 و 115),"[100, 101, 115]","[94, 149, 142, 41, 117]",0.0
چگونه می‌توان اختیارات مدیریتی در شرکت‌های با مسئولیت محدود را محدود کرد و چه تأثیری بر نمایندگی شرکت در قبال اشخاص ثالث دارد؟,اختیارات مدیریتی در شرکت‌های با مسئولیت محدود می‌تواند از طریق اساسنامه محدود شود. هرگونه قراردادی که اختیارات مدیران را محدود کند و در اساسنامه ذکر نشده باشد، در مقابل اشخاص ثالث باطل است. (مواد 104 و 105),"[104, 105]",[105],1.0
نقش هیئت نظار در شرکت‌های با مسئولیت محدود با بیش از دوازده شریک چیست و چه وظایفی دارد؟,هیئت نظار در شرکت‌های با مسئولیت محدود با بیش از دوازده شریک وظیفه نظارت بر رعایت قوانین و مقررات، اطمینان از اجرای صحیح مواد 96 و 97 و دعوت به مجمع عمومی دارد. (ماده 109),[109],"[122, 120, 128, 145, 160]",0.0
چه شرایطی برای تغییر تابعیت یک شرکت و تغییرات دیگر در اساسنامه شرکت‌های با مسئولیت محدود و تضامنی وجود دارد؟,تغییر تابعیت شرکت فقط با تفاق آراء شرکاء ممکن است. هر تغییر دیگری در اساسنامه نیاز به اکثریت عددی شرکاء دارد که لااقل سه ربع سرمایه را داشته باشند. (مواد 110 و 111),"[110, 111]","[94, 105, 214, 107, 164]",0.0
 قبل از صدور حکم ورشکستگی تاجر، حکمی در محکومیت مالی تاجر به پرداخت مبلغ دین به نفع یکی از طلبکاران صادر و اجرا شده است. بعد از صدور حکم ورشکستگی، دادگاه تاریخ توقف او را قبل از عملیات اجرایی حکم موردی مزبور تعیین نموده است. این امر چه تأثیری نسبت به حکم اجرا شده فوق دارد؟,عملیات اجرایی مزبور، باطل و بالاثر است. (ماده 423),[423],"[424, 425, 412, 512, 528]",0.0
 حکم ادعای خیار نسبت به اموال متصرفی تاجر ورشکسته چیست؟, خیاراتی که وی نسبت به اموال متصرفی خود دارد، اگر به ضرر طلبکاران نباشد، می تواند به اجرا گذارد. (مواد 474 و 475),"[474, 475]","[548, 546, 172, 536, 554]",0.0
شرکت تعاونی تولید و مصرف چه تفاوتی با شرکت نسبی دارد؟,شركت تعاوني توليد شركتي است كه بين عدة از ارباب حرف تشكيل ميشود و شركاء مشاغل خود را براي توليد و فروش اشياء يا ‌اجناس بكار ميبرند. در حالی که، شركت نسبي شركتي است كه براي امور تجارتي در تحت اسم مخصوصي بين دو يا چند نفر تشكيل و مسئوليت هر يك از شركاء بنسبت سرمايه‌ايست كه در شركت گذاشته. (مواد 183 و 190) ,"[183, 190]",[190],1.0
در صورتی شركت در چندين حوزه شعبه داشته باشد، برای ثبت آن باید چه کرد؟,هر گاه شركت در چندين حوزه شعبه داشته باشد مقررات مواد 195 و 197 بايد بقسميكه در نظامنامه وزارت عدليه معين ميشود در ‌هر حوزه جداگانه انجام گردد. (مواد 199 و 195),"[199, 195]","[10, 16, 581, 9, 217]",0.0
 در صورتی که به دلیل عدم رعایت مقررات تشکیل شرکت سهامی، حکم به بطالن صادر شود و در مرحله تجدیدنظر خواهی، موجبات بطالن مرتفع شده باشد، تصمیم دادگاه چه خواهد بود؟,تصمیم دادگاه تأیید حکم بطلان می باشد. (مواد 271 و272),"[271, 272]","[205, 182, 469, 199, 194]",0.0
در چه صورتی تقسيم دارائي شركتهاي سهامي و شركتهاي با مسئوليت محدود و تعاوني بين شركاء خواه در ضمن مدت تصفيه و خواه پس از ختم آن ممكن است؟,در صورتی که قبلاً ‌سه مرتبه در مجله رسمي و يكي از جرايد اعلان و يكسال از تاريخ انتشار اولين اعلان در مجله گذشته باشد. (مواد 214 و 215),"[214, 215]",[215],1.0
مدت مرور زمان در دعاوی اشخاص ثالث بر علیه شرکاء یا وراث آنها چقدر است و از چه رمانی آغاز می شود؟,مدت مرور زمان پنج سال است، مبداء آن روزی است که انحلال شرکت یا کناره گیری شریک یا اخراج او از شرکت در اداره ثبت بثبت رسیده و در مجله رسمی اعلان شده باشد. تبصره نیز بیان می‌کند که دعواهایی که سنخاً تابع مرور زمان کوتاه‌تر یا بموجب اینقانون مرور زمان طولانی‌تری برای آن معین شده، از این مقررات مستثنی هستند. (ماده 219),[219],"[160, 144, 479, 172, 158]",0.0
چه شرایطی موجب مسئولیت دلال به عنوان سهیم در معامله می‌شود؟,گر دلال در نفس معامله منتفع یا سهیم باشد، باید به آمر خود اطلاع دهد؛ در غیر این صورت، مسئول خسارات وارده خواهد بود و بعلاوه به میزانی از 25 تا 60 میلیون ریال جزا نقدی محکوم خواهد شد. (مواد 346 و 347),"[346, 347]","[345, 135, 146, 347]",0.25
,,,Average MRR,0.19940476190476192
