Question,Answer,Contexts,Ground Truth
چه فرآیندی باید برای انحلال یک شرکت با مسئولیت محدود دنبال شود و چه زمانی مسئولیت مدیران در قبال خسارات ناشی از بطلان شرکت آغاز می‌شود؟,برای انحلال یک شرکت با مسئولیت محدود، باید ابتدا مدیر یا مدیران تصفیه اختیارات خود را تصفیه کرده و شرکت را تصفیه کنند. مدت مأموریت مدیر یا مدیران تصفیه نباید از دو سال تجاوز کند و در صورتی که تا پایان مأموریت تصفیه امور شرکت خاتمه نیافته باشد، مدیر یا مدیران تصفیه باید با ذکر علل و جهات خاتمه نیافتن تصفیه امور شرکت، مهلت اضافی را که برای خاتمه دادن به تصفیه لازم است، درخواست کنند. مسئولیت مدیران در قبال خسارات ناشی از بطلان شرکت از زمان شروع تصفیه شرکت آغاز می‌شود.,"['قانون تجارت - ماده 211(الحاقي 24ˏ12ˏ1347)- از تاريخ تعيين مدير يا مديران تصفيه اختيارات مديران شركت خاتمه يافته و تصفيه شركت شروع ميشود. مديران تصفيه بايد كليهاموال و دفاتر و اوراق و اسناد مربوط بشركت را تحويل گرفته بلافاصله امر تصفيه شركت را عهدهدار شوند.\n\n', 'قانون تجارت - ماده 88(الحاقي 24ˏ12ˏ1347)- در مجمع عمومي عادي تصميمات همواره باكثريت نصف بعلاوه يك آراء حاضر در جلسه رسمي معتبر خواهد بود مگر در مورد انتخاب مديران و بازرسان كه اكثريت نسبي كافي خواهد بود.\nدر مورد انتخاب مديران تعداد آراء هر رأي دهنده در عدد مديراني كه بايد انتخاب شوند ضرب ميشود و حق رأي هر رأي دهنده برابر با حاصل ضربمذكور خواهد بود. رأي دهنده ميتواند آراء خود را بيك نفر بدهد يا آنرا بين چند نفري كه مايل باشد تقسيم كند. اساسنامه شركت نميتواند خلاف اين ترتيب را مقرر دارد.\n\n', 'قانون تجارت - ماده 214(الحاقي 24ˏ12ˏ1347)- مدت مأموريت مدير يا مديران تصفيه نبايد از دو سال تجاوز كند. اگر تا پايان مأموريت مديران تصفيه امر تصفيه خاتمه نيافته باشد مديريا مديران تصفيه بايد با ذكر علل و جهات خاتمه نيافتن تصفيه امور شركت مهلت اضافي را كه براي خاتمه دادن بامر تصفيه لازم ميدانند و تدابيري راكه جهت پايان دادن بامر تصفيه در نظر گرفتهاند باطلاع مجمع عمومي صاحبان سهام رسانيده تمديد مدت مأموريت خود را خواستار شوند.\n\n']",انحلال شرکت ممکن است در صورت تصمیم شرکاء یا بر اساس دلایل قانونی مانند ضررهای وارده که نصف سرمایه شرکت را از بین ببرد، اتفاق بیفتد. مدیران و هیئت نظار در صورت انجام ندادن وظایف خود در زمان بطلان، مسئول خسارات ناشی از بطلان هستند. (مواد 114 و 101)
تفاوت‌های اصلی بین شرکت‌های با مسئولیت محدود و شرکت‌های تضامنی در زمینه مدیریت، انتقال سهم‌الشرکه و مسئولیت‌های شرکاء چیست؟,"تفاوت اصلی بین شرکت‌های با مسئولیت محدود و شرکت‌های تضامنی در زمینه مدیریت این است که در شرکت‌های با مسئولیت محدود، امر تصفیه بعهده مدیران شرکت است، مگر اینکه اساسنامه یا اکثریت مجمع عمومی شرکت ترتیب دیگری مقرر کند. اما در شرکت‌های تضامنی، امر تصفیه با مدیر یا مدیران شرکت است، مگر اینکه شرکاء ضامن اشخاص دیگری را برای تصفیه معین نمایند.

در مورد انتقال سهم‌الشرکه، در شرکت‌های با مسئولیت محدود، اگر شریک با مسئولیت محدود تمام یا قسمتی از سهم خود را پرداخت نکرده یا پس از تأدیه مسترد داشته باشد، طلبکاران شرکت حق دارند معادل آنچه از بابت سهم خود باقی مانده است را بر علیه شریک با مسئولیت محدود اقامه دعوی نمایند. اما در شرکت‌های تضامنی، شرکاء می‌توانند اشخاص دیگری را برای تصفیه معین نمایند.

در مورد مسئولیت‌های شرکاء، در شرکت‌های با مسئولیت محدود، شرکاء مسئولیت محدود دارند و تنها تا اندازه سرمایه‌گذاری خود در شرکت مسئولیت دارند. اما در شرکت‌های تضامنی، شرکاء مسئولیت تضامنی دارند و مسئولیت آن‌ها تا حداکثر میزان سرمایه‌گذاری‌شان در شرکت می‌باشد.","['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 213 - در شركتهاي سهامي و شركتهاي با مسئوليت محدود و شركتهاي تعاوني امر تصفيه بعهده مديران شركت است مگر آنكه اساسنامه يا اكثريت مجمع عمومي شركت ترتيب ديگري مقرر داشته باشد.\n\n', 'قانون تجارت - ماده 203 - در شركت هاي تضامني و نسبي و مختلط سهامي و غيرسهامي امر تصفيه با مدير يا مديران شركت است مگر آنكه شركاءِ ضامن اشخاص ديگري را از خارج يا از بين خود براي تصفيه معين نمايند.\n\n']",در شرکت با مسئولیت محدود، مدیریت می‌تواند توسط افراد خارج از شرکاء انجام شود و انتقال سهم‌الشرکه نیاز به رضایت شرکاء دارد. در شرکت تضامنی، همه شرکاء به صورت تضامنی مسئول قروض هستند و انتقال سهم‌الشرکه به رضایت تمام شرکاء بستگی دارد. (مواد 104، 102، 123 و 116)
چگونه می‌توان یک شرکت تضامنی را به شرکت سهامی تبدیل کرد و چه شرایطی باید رعایت شود؟,بر اساس متن ارائه شده، یک شرکت تضامنی می‌تواند با تصویب تمامی شرکا به شرکت سهامی تبدیل شود. برای این تبدیل، باید تمام مقررات مربوط به شرکت سهامی رعایت شود و تصویب تمام شرکا برای این تبدیل ضروری است.,"['قانون تجارت - ماده 135 - هر شركت تضامني مي تواند با تصويب تمام شركاء بشركت سهامي مبدل گردد در اينصورت رعايت تمام مقررات راجعه بشركت سهامي حتمي است.\n\n', 'قانون تجارت - ماده 42(الحاقي 24ˏ12ˏ1347)- هر شركت سهامي ميتواند بموجب اساسنامه و همچنين تا موقعي كه شركت منحل نشده است طبق تصويب مجمع عمومي فوقالعاده صاحبان سهام سهام ممتاز ترتيب دهد. امتيازات اينگونه سهام و نحوه استفاده از آن بايد بطور وضوح تعيين گردد. هر گونه تغيير درامتيازات وابسته بسهام ممتاز بايد به تصويب مجمع عمومي فوقالعاده شركت با جلب موافقت دارندگان نصف بعلاوه يك اينگونه سهام انجام گيرد.\n\nبخش 3(الحاقي 24ˏ12ˏ1347)\nتبديل سهام\n\n', 'قانون تجارت - ماده 173 - هر گاه شركت مختلط سهامي ورشكست شود شركاءِ سهامي تمام قيمت سهام خود را نپرداخته باشند مدير تصفيه آنچه را كه بر عهده آنها باقي است وصول ميكند.\n\n']",تبدیل یک شرکت تضامنی به شرکت سهامی نیاز به تصویب تمام شرکاء دارد و باید تمام مقررات مربوط به شرکت‌های سهامی رعایت شود. (ماده 135)
در چه شرایطی یک شرکت با مسئولیت محدود می‌تواند از سهم‌الشرکه‌های غیر نقدی استفاده کند و چه مسئولیتی بر عهده شرکاء در قبال این سهم‌الشرکه‌ها است؟,یک شرکت با مسئولیت محدود می‌تواند از سهم‌الشرکه‌های غیر نقدی استفاده کند در صورتی که این استفاده منجر به کسر سرمایه شریک با مسئولیت محدود نشود. در این صورت، شرکاء با مسئولیت محدود باید مطابق با ماده 154 قانون تجارت، تأمین کمبود سرمایه خود را انجام دهند و تأمین کمبود سرمایه باید تا زمان جبران شود، تأدیه هر ربح یا منفعتی باو ممنوع است. در صورتی که وجهی برخلاف حکم فوق تأدیه شود، شریک با مسئولیت محدود باید تا معادل وجه دریافتی مسئول تعهدات شرکت باشد، مگر اینکه وجه با حسن نیت و باعتبار بیلان مرتبی گرفته شده باشد.,"['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 173 - هر گاه شركت مختلط سهامي ورشكست شود شركاءِ سهامي تمام قيمت سهام خود را نپرداخته باشند مدير تصفيه آنچه را كه بر عهده آنها باقي است وصول ميكند.\n\n', 'قانون تجارت - ماده 154 - بشريك با مسئوليت محدود فرع نميتوان داد مگر در صورتي كه موجب كسر سرمايه او در شركت نشود.\nاگر در نتيجه ضررهاي وارده سهم الشركه شريك با مسئوليت محدود كسر شد مادام كه اين كمبود جبران نشده تأديه هر ربح يا منفعتي باو ممنوع است.\nهر گاه وجهي برخلاف حكم فوق تأديه گرديد شريك با مسئوليت محدود تا معادل وجه دريافتي مسئول تعهدات شركت است مگر در مورديكه با حسن نيت و باعتبار بيلان مرتبي وجهي گرفته باشد.\n\n']",سهم‌الشرکه‌های غیر نقدی باید هنگام تشکیل شرکت تقویم و تسلیم شوند. شرکاء در قبال قیمت تعیین شده برای سهم‌الشرکه‌های غیر نقدی در مقابل اشخاص ثالث مسئولیت تضامنی دارند. (مواد 96 و 98)
چه مواردی موجب بطلان یک شرکت با مسئولیت محدود می‌شود و چه تبعاتی برای شرکاء و مدیران دارد؟,مواردی که می‌تواند منجر به بطلان یک شرکت با مسئولیت محدود شود عبارتند از عدم پرداخت تمام یا قسمتی از سهم شرکا، یا پس از تأدیه مسترد داشتن سهم شرکا، ورشکستگی شرکت. در این صورت، طلبکاران شرکت حق دارند معادل آنچه از بابت سهم شرکا باقی مانده است را از شریک با مسئولیت محدود درخواست کنند و در صورت ورشکستگی، مدیر تصفیه حق مزبور را خواهد داشت. این موارد می‌تواند منجر به تبعات حقوقی و مالی برای شرکاء و مدیران شرکت شود.,"['قانون تجارت - ماده 104 - شركت با مسئوليت محدود بوسيله يك يا چند نفر مدير موظف يا غير موظف كه از بين شركاء يا از خارج براي مدت محدود يانامحدودي معين ميشوند اداره ميگردد.\n\n', 'قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 213 - در شركتهاي سهامي و شركتهاي با مسئوليت محدود و شركتهاي تعاوني امر تصفيه بعهده مديران شركت است مگر آنكه اساسنامه يا اكثريت مجمع عمومي شركت ترتيب ديگري مقرر داشته باشد.\n\n']",تشکیل شرکت برخلاف مواد 96 و 97 موجب بطلان شرکت می‌شود. شرکاء و مدیران در این صورت در مقابل اشخاص ثالث مسئول خسارات ناشی از بطلان هستند. (مواد 100 و 101)
در صورت فوت یا محجوریت یکی از شرکاء شرکت تضامنی، چه اقداماتی باید انجام شود و چه تأثیری بر ادامه فعالیت شرکت دارد؟,در صورت فوت یکی از شرکاء شرکت تضامنی، شرکت موقوف برضايت سایر شرکاء و قائم مقام متوفی خواهد بود. اگر سایر شرکاء تصمیم به ادامه شرکت باقیمانده دارند، قائم مقام متوفی باید در مدت یک ماه از تاریخ فوت رضایت یا عدم رضایت خود را کتباً اعلام کند. اگر قائم مقام متوفی رضایت خود را اعلام کند، نسبت به اعمال شرکت در مدت مزبور از نفع و ضرر شریک خواهد بود، اما اگر عدم رضایت اعلام کند، در منافع حاصله شریک بوده و نسبت به ضرر آن مدت سهیم نخواهد بود. در صورتی که قائم مقام متوفی سکوت کند، در حکم اعلام رضایت خواهد بود.,"['قانون تجارت - ماده 139 - در صورت فوت يكي از شركاء بقاءِ شركت موقوف برضايت ساير شركاء و قائم مقام متوفي خواهد بود - اگر ساير شركاء ببقاءِ شركت تصميم نموده باشند قائم مقام متوفي بايد در مدت يكماه از تاريخ فوت رضايت يا عدم رضايت خود را راجع ببقاءِ شركت كتباً اعلام نمايد در صورتيكه قائم مقام متوفي رضايت خود را اعلام نمود نسبت باعمال شركت در مدت مزبور از نفع و ضرر شريك خواهد بود ولي در صورت اعلام عدم رضايت در منافع حاصله در مدت مذكور شريك بوده و نسبت بضرر آن مدت سهيم نخواهد بود.\nسكوت تا انقضاي يكماه در حكم اعلام رضايت است.\n\n', 'قانون تجارت - ماده 506 - اگر شركت تضامني - مختلط يا نسبي ورشكست شود طلبكارها ميتوانند قرارداد ارفاقي را با شركت يا منحصراً با يك يا چند نفر ازشركاءِ ضامن منعقد نمايند. در صورت ثاني دارائي شركت تابع مقررات اين مبحث و بغرما تقسيم ميشود ولي دارائي شخصي شركائي كه با آنها قرارداد ارفاقي منعقد شده است بغرما تقسيم نخواهد شد - شريك يا شركاءِ ضامن كه با آنها قرارداد خصوصي منعقد شده نمي توانند تعهد حصة نمايند مگر از اموال شخصي خودشان - شريكي كه با او قرارداد مخصوص منعقد شده از مسئوليت ضمانتي مبري است.\n\n', 'قانون تجارت - ماده 135 - هر شركت تضامني مي تواند با تصويب تمام شركاء بشركت سهامي مبدل گردد در اينصورت رعايت تمام مقررات راجعه بشركت سهامي حتمي است.\n\n']",در صورت فوت یا محجوریت یکی از شرکاء، بقاء شرکت به رضایت سایر شرکاء و قائم مقام متوفی یا محجور بستگی دارد. قائم مقام باید در مدت یک ماه نسبت به ادامه یا عدم ادامه فعالیت شرکت اعلام نظر کند. (مواد 139 و 140)
چه شرایطی برای انتقال سهم‌الشرکه در شرکت‌های تضامنی و با مسئولیت محدود وجود دارد و چه تفاوت‌هایی در این دو نوع شرکت مشاهده می‌شود؟,"بر اساس متن ارائه شده، شرایط انتقال سهم‌الشرکه در شرکت‌های تضامنی و با مسئولیت محدود به شرح زیر است:

1. در شرکت‌های تضامنی، انتقال سهم‌الشرکه باید با موافقت تمام شرکاء انجام شود.
2. در شرکت‌های با مسئولیت محدود، انتقال سهم‌الشرکه باید با موافقت بیشتری از شرکاء انجام شود، به طوری که مجمع عمومی فوق‌العاده با جلب موافقت دارندگان نصف بعلاوه یک اینگونه سهام تصمیم‌گیری کند.

تفاوت اصلی بین این دو نوع شرکت در انتقال سهم‌الشرکه و میزان موافقت مورد نیاز برای انجام این عملیات است. در حالی که در شرکت‌های تضامنی توافق تمام شرکاء کافی است، در شرکت‌های با مسئولیت محدود نیاز به تصمیم‌گیری مجمع عمومی فوق‌العاده با موافقت دارندگان نصف بعلاوه یک اینگونه سهام وجود دارد.","['قانون تجارت - ماده 4(الحاقي 24ˏ12ˏ1347)- شركت سهامي بدو نوع تقسيم ميشود:\nنوع اول - شركتهائي كه مؤسسين آنها قسمتي از سرمايه شركت را از طريق فروش سهام بمردم تأمين ميكنند. اينگونه شركتها شركت سهامي عام ناميده ميشوند.\nنوع دوم - شركتهائي كه تمام سرمايه آنها در موقع تأسيس منحصراً توسط مؤسسين تأمين گرديده است. اينگونه شركتها شركت سهامي خاص ناميده ميشوند.\n\nتبصره (الحاقي 24ˏ12ˏ1347)- در شركتهاي سهامي عام عبارت شركت سهامي عام و در شركتهاي سهامي خاص عبارت  شركت سهامي خاص بايد قبل از نامشركت يا بعد از آن بدون فاصله با نام شركت در كليه اوراق و اطلاعيهها و آگهيها[آگهيهاي] شركت بطور روشن و خوانا قيد شود.\n\n\n', 'قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 42(الحاقي 24ˏ12ˏ1347)- هر شركت سهامي ميتواند بموجب اساسنامه و همچنين تا موقعي كه شركت منحل نشده است طبق تصويب مجمع عمومي فوقالعاده صاحبان سهام سهام ممتاز ترتيب دهد. امتيازات اينگونه سهام و نحوه استفاده از آن بايد بطور وضوح تعيين گردد. هر گونه تغيير درامتيازات وابسته بسهام ممتاز بايد به تصويب مجمع عمومي فوقالعاده شركت با جلب موافقت دارندگان نصف بعلاوه يك اينگونه سهام انجام گيرد.\n\nبخش 3(الحاقي 24ˏ12ˏ1347)\nتبديل سهام\n\n']",در شرکت‌های با مسئولیت محدود، انتقال سهم‌الشرکه نیاز به رضایت شرکاء دارد، در حالی که در شرکت‌های تضامنی، هیچیک از شرکاء نمی‌توانند سهم خود را بدون رضایت تمام شرکاء منتقل کنند. (مواد 102، 103 و 123)
فرآیند اتخاذ تصمیمات در شرکت‌های با مسئولیت محدود و تضامنی چگونه است و چه نقشی در اداره این شرکت‌ها دارد؟,مطابق با ماده 213 از قانون تجارت، در شرکت‌های سهامی و شرکت‌های با مسئولیت محدود و شرکت‌های تعاونی، امر تصفیه بر عهده مدیران شرکت است، مگر اینکه اساسنامه یا اکثریت مجمع عمومی شرکت ترتیب دیگری مقرر کند. بنابراین، مدیران در این نوع شرکت‌ها نقش اصلی در اداره و اتخاذ تصمیمات دارند و مسئولیت تصفیه امور نیز بر عهده آن‌ها است.,"['قانون تجارت - ماده 118(الحاقي 24ˏ12ˏ1347)- جز درباره موضوعاتي كه بموجب مقررات اين قانون اخذ تصميم و اقدام درباره آنها در صلاحيت خاص مجامع عمومي است مديرانشركت داراي كليه اختيارات لازم براي اداره امور شركت ميباشند مشروط بر آنكه تصميمات و اقدامات آنها در حدود موضوع شركت باشد. محدودكردن اختيارات مديران در اساسنامه يا بموجب تصميمات مجامع عمومي فقط از لحاظ روابط بين مديران و صاحبان سهام معتبر بوده و در مقابلاشخاص ثالث باطل و كانلميكن است.\n\n', 'قانون تجارت - ماده 213 - در شركتهاي سهامي و شركتهاي با مسئوليت محدود و شركتهاي تعاوني امر تصفيه بعهده مديران شركت است مگر آنكه اساسنامه يا اكثريت مجمع عمومي شركت ترتيب ديگري مقرر داشته باشد.\n\n', 'قانون تجارت - ماده 105 - مديران شركت كليه اختيارات لازمه را براي نمايندگي و اداره شركت خواهند داشت مگر اينكه در اساسنامه غير اين ترتيب مقرر شده باشد هر قرارداد راجع به محدود كردن اختيارات مديران كه در اساسنامه تصريح به آن نشده در مقابل اشخاص ثالث باطل و كان لم يكن است.\n\n']",در شرکت‌های با مسئولیت محدود، تصمیمات باید با اکثریت لااقل نصف سرمایه اتخاذ شود. در شرکت‌های تضامنی، تصمیمات با تراضی تمام شرکاء یا بر اساس مقررات خاص اساسنامه انجام می‌شود. (مواد 106 و 136)
چه زمانی شرکت‌های با مسئولیت محدود و تضامنی به انحلال می‌رسند و چه فرآیندهایی باید دنبال شود؟,شرکت‌های با مسئولیت محدود و تضامنی به انحلال می‌رسند زمانی که شرکت ورشکست شود. برای انجام این فرآیند، طبق قانون تجارت، طلبکاران شرکت حق دارند معادل آنچه که از بابت سهم الشرکت باقی مانده است مستقیماً بر علیه شریک با مسئولیت محدود اقامه دعوی نمایند. در صورت ورشکستگی، مدیر تصفیه حق مزبور را خواهد داشت.,"['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 154 - بشريك با مسئوليت محدود فرع نميتوان داد مگر در صورتي كه موجب كسر سرمايه او در شركت نشود.\nاگر در نتيجه ضررهاي وارده سهم الشركه شريك با مسئوليت محدود كسر شد مادام كه اين كمبود جبران نشده تأديه هر ربح يا منفعتي باو ممنوع است.\nهر گاه وجهي برخلاف حكم فوق تأديه گرديد شريك با مسئوليت محدود تا معادل وجه دريافتي مسئول تعهدات شركت است مگر در مورديكه با حسن نيت و باعتبار بيلان مرتبي وجهي گرفته باشد.\n\n', 'قانون تجارت - ماده 109 - هر شركت با مسئوليت محدود كه عده شركاءِ آن بيش از دوازده نفر باشد بايد داراي هيئت نظار بوده و هيئت مزبور لااقل سالي يكمرتبه مجمع عمومي شركاء را تشكيل دهد.\nهيئت نظار بايد بلافاصله بعد از انتخاب شدن تحقيق كرده و اطمينان حاصل كند كه دستور مواد 96 و 97 رعايت شده است.\nهيئت نظار ميتواند شركاء را براي انعقاد مجمع عمومي فوقالعاده دعوت نمايد مقررات مواد 165 - 167 - 168 و 170 در مورد شركتهاي با مسئوليت محدود نيز رعايت خواهد شد.\n\n']",شرکت‌های با مسئولیت محدود و تضامنی می‌توانند در صورت تصمیم شرکاء یا وقوع شرایط خاص قانونی منحل شوند. فرآیندهای انحلال شامل تصفیه امور مالی و اعلام به ثبت شرکت‌ها است. (مواد 114 و 136)
چه مسئولیت‌هایی بر عهده مدیران شرکت‌های با مسئولیت محدود در قبال اسناد مالی و اداره شرکت وجود دارد؟,مدیران شرکت‌های با مسئولیت محدود اختیارات لازم برای نمایندگی و اداره شرکت را دارند، مگر اینکه در اساسنامه شرکت غیر این ترتیب مقرر شده باشد. آن‌ها مسئولیت‌هایی مانند امضای اسناد مالی، انجام تراکنش‌های مالی و اداری، انجام تعهدات قراردادی و مسئولیت‌های دیگر مربوط به اداره و نمایندگی شرکت را بر عهده دارند.,"['قانون تجارت - ماده 104 - شركت با مسئوليت محدود بوسيله يك يا چند نفر مدير موظف يا غير موظف كه از بين شركاء يا از خارج براي مدت محدود يانامحدودي معين ميشوند اداره ميگردد.\n\n', 'قانون تجارت - ماده 105 - مديران شركت كليه اختيارات لازمه را براي نمايندگي و اداره شركت خواهند داشت مگر اينكه در اساسنامه غير اين ترتيب مقرر شده باشد هر قرارداد راجع به محدود كردن اختيارات مديران كه در اساسنامه تصريح به آن نشده در مقابل اشخاص ثالث باطل و كان لم يكن است.\n\n', 'قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n']",مدیران شرکت‌های با مسئولیت محدود مسئول نمایندگی، اداره امور شرکت و رعایت دقیق قوانین و مقررات مالی شرکت هستند. این مسئولیت‌ها شامل نگهداری دقیق اسناد مالی و اجرای تصمیمات شرکاء می‌شود. (مواد 104 و 105)
چگونه می‌توان از بطلان شرکت با مسئولیت محدود جلوگیری کرد و چه اقداماتی باید در صورت بطلان انجام شود؟,"برای جلوگیری از بطلان شرکت با مسئولیت محدود، باید اطمینان حاصل کرد که همه قراردادها و ترتیبات شرکت با مقررات و قوانین مربوطه سازگاری دارند. همچنین، باید از روی دفاتر اسناد شرکت برای اطلاع از وضعیت مالی شرکت و رعایت قوانین مربوطه استفاده کرد.

در صورت بطلان شرکت، اقداماتی مانند تعیین شرکت‌های جایگزین، تعیین مدیران جدید، انجام مذاکرات با افراد ذینفع و تعیین مسئولیت‌های مالی ناشی از بطلان برای شرکای شرکت با مسئولیت محدود انجام شود. همچنین، باید به مدت حداکثر ده سال از تاریخ بطلان شرکت اقدامات لازم برای جبران خسارات و رفع مشکلات انجام شود.","['قانون تجارت - ماده 147 - هر شريك با مسئوليت محدود حق نظارت در امور شركت داشته و ميتواند از روي دفاتر اسناد شركت براي اطلاع شخص خود راجع بوضعيت مالي شركت صورت خلاصه ترتيب دهد.\nهر قراردادي كه بين شركاء برخلاف اين ترتيب داده شود از درجه اعتبار ساقط است.\n\n', 'قانون تجارت - ماده 154 - بشريك با مسئوليت محدود فرع نميتوان داد مگر در صورتي كه موجب كسر سرمايه او در شركت نشود.\nاگر در نتيجه ضررهاي وارده سهم الشركه شريك با مسئوليت محدود كسر شد مادام كه اين كمبود جبران نشده تأديه هر ربح يا منفعتي باو ممنوع است.\nهر گاه وجهي برخلاف حكم فوق تأديه گرديد شريك با مسئوليت محدود تا معادل وجه دريافتي مسئول تعهدات شركت است مگر در مورديكه با حسن نيت و باعتبار بيلان مرتبي وجهي گرفته باشد.\n\n', 'قانون تجارت - ماده 101 - اگر حكم بطلان شركت باستناد ماده قبل صادر شود شركائي كه بطلان مستند بعمل آنها است و هيئت نظار و مديرهائي كه در حين حدوث سبب بطلان يا بلافاصله پس از آن سر كار بوده و انجام وظيفه نكردهاند در مقابل شركاءِ ديگر و اشخاص ثالث نسبت بخسارات ناشيه از اين بطلان متضامناً مسئول خواهند بود.\nمدت مرور زمان ده سال از تاريخ حدوث موجب بطلان است.\n\n']",جلوگیری از بطلان شرکت با مسئولیت محدود شامل رعایت دقیق قوانین و مقررات مربوط به تشکیل و اداره شرکت است. در صورت بطلان، مسئولیت جبران خسارات بر عهده شرکاء و مدیرانی است که موجب بطلان شده‌اند. (مواد 100 و 101)
